Date,Author,Handle,URL,Summary,GitHub/Resource Link
2026-03-25,Avi Chawla,@_avichawla,https://x.com/_avichawla/status/2036911023706566768,"Plano: proxy layer for OpenClaw that filters every request/response before agent acts. Connect real inbox, calendar, APIs without risk. 100% local.",github.com/katanemo/plano
2026-03-25,MiniMax_Agent,@MiniMaxAgent,https://x.com/MiniMaxAgent/status/2036797532890865884,"Open-source agent skills for PDF, Excel, PPTX, DOCX under MIT license. Pre-built document handling skills.",github.com/MiniMax-AI/skills
2026-03-25,Ihtesham Ali,@ihtesham2005,https://x.com/ihtesham2005/status/2036760097175765063,"HolyClaude: single Docker container with Claude Code, browser-based web UI, 5 AI CLIs, headless Playwright browser, 50+ dev tools.",
2026-03-25,Atenov int.,@Atenov_D,https://x.com/Atenov_D/status/2036735789229342924,"OpenClaw uses 5% of potential out of box. Three extensions fix it: Skill Boss ($15, 100 models, 50 tools), plus two others.",
2026-03-25,Vox,@Voxyz_ai,https://x.com/Voxyz_ai/status/2036745128895734013,"Autonomous agent swarm that scans internet for problems, debates which to build, votes, and ships tools. 45 live tools built autonomously.",
2026-03-25,Aakash Gupta,@aakashgupta,https://x.com/aakashgupta/status/2036666385099870394,"Karpathy's autoresearch README contains vision of autonomous AI swarms on compute megastructures. Deep analysis of the philosophy.",
2026-03-24,Om Patel,@om_patel5,https://x.com/om_patel5/status/2036513690803945625,"Claude Code 'auto dream' feature: agents store preferences/corrections/patterns over time, then self-curate memory to stay effective.",
2026-03-24,Julian Goldie SEO,@JulianGoldieSEO,https://x.com/JulianGoldieSEO/status/2036427818847051915,"Claude Sonnet 4.6 vs Xiaomi MiMo V2 Pro comparison. MiMo wins coding, near Opus on agent benchmarks, 1M context, free via OpenClaw+KiloClaw.",
2026-03-24,Boris Cherny,@bcherny,https://x.com/bcherny/status/2036555259997462541,"Claude Code auto mode: AI makes permission decisions on your behalf with safeguards checking each action. No more manual approvals.",
2026-03-24,OliviscusAI,@oliviscusAI,https://x.com/oliviscusAI/status/2036395922016686548,"Dexter: Claude Code for finance. Finds undervalued stocks, detailed analysis, investment thesis. Open source.",
2026-03-23,Shiri,@shiri_shh,https://x.com/shiri_shh/status/2036061147200471058,"OpenClaw founder runs 4-10 AI coding agents in parallel. 500+ commits/day, 6600+ in January alone.",
2026-03-24,Roundtable Space,@RoundtableSpace,https://x.com/RoundtableSpace/status/2036439229748666843,"Open-source small model trained as personal agent router. Decides local vs cloud automatically, routes by complexity.",
2026-03-24,Tom Doerr,@tom_doerr,https://x.com/tom_doerr/status/2036437927534759958,"OpenClaw bot dashboard with pixel office visualization.",github.com/xmanrui/OpenClaw-bot-review
2026-03-24,Huang Chao,@huang_chao4969,https://x.com/huang_chao4969/status/2036493834495074704,"OpenSpace: self-evolving engine for agents. 46% fewer tokens through self-evolving skills and shared agent experiences.",
2026-03-24,Ziwen Xu,@ziwenxu_,https://x.com/ziwenxu_/status/2036278925194617296,"30+ days running OpenClaw. 1.5B tokens consumed. $14K API cost reduced to $50. Browser automation and multi-agent workflow lessons.",
2026-03-24,Tom Doerr,@tom_doerr,https://x.com/tom_doerr/status/2036348616340566075,"112 pre-built workflows for OpenClaw agents.",github.com/nikilster/clawflows
2026-03-24,Min Choi,@minchoi,https://x.com/minchoi/status/2036279719386100126,"Claude Code project setup guide that dramatically improves effectiveness.",
2026-03-24,Kevin Nguyen,@kevinnguyendn,https://x.com/kevinnguyendn/status/2036457783906934959,"(Visual/media bookmark - no text captured)",
2026-03-24,Alex Finn,@AlexFinn,https://x.com/AlexFinn/status/2036487976646221876,"Telegram threading for OpenClaw: reduces cost, keeps context clean, organizes conversations into topics.",
2026-03-23,Code Rams,@code_rams,https://x.com/code_rams/status/2036097565632938451,"Three missing pieces from context management: LCM (Lossless Context Management), cron-driven nightly memory distillation, automated context optimization.",
2026-03-23,Ihtesham Ali,@ihtesham2005,https://x.com/ihtesham2005/status/2036152262805119120,"Understand Anything: Claude Code plugin that turns codebase into interactive knowledge graph. Visual map of files, functions, classes, dependencies.",github.com/Lum1104/Understand-Anything
2026-03-22,Tech X Utkarsh,@techxutkarsh,https://x.com/techxutkarsh/status/2035701980849700877,"421-page Agentic Design Patterns doc from Google engineer. Code-backed chapters on prompt chaining, routing, memory, MCP, multi-agent coordination, guardrails.",
2026-03-23,Eng Khairallah,@eng_khairallah1,https://x.com/eng_khairallah1/status/2036156107412869236,"Composio Agent Orchestrator: open-source coordination layer for running 30+ AI coding agents across different issues in production.",
2026-03-23,Jesse Genet,@jessegenet,https://x.com/jessegenet/status/2036150814595752205,"thechildslibrary.com: free book resource built with OpenClaw agents. Filter by values. Example of agent-built consumer product.",
2026-03-23,Felix Rieseberg,@felixrieseberg,https://x.com/felixrieseberg/status/2036193240509235452,"Claude computer control: mouse, keyboard, screen. Dispatch enables remote control of Claude on computer while away.",
2026-03-23,Jumper,@jumperz,https://x.com/jumperz/status/2036070582228246738,"OpenClaw 2026.3.22 update: per-agent thinking, tune each agent's reasoning mode separately.",
2026-03-22,Evan Luthra,@EvanLuthra,https://x.com/EvanLuthra/status/2035615077056045449,"Anthropic free Claude Certified Architect certification. Same cert Deloitte trains 15K employees for.",
2026-03-23,Matt Wolfe,@mreflow,https://x.com/mreflow/status/2036115849971658996,"Discussion on optimal default models for OpenClaw. Nemotron 3-super local hits context limits. Sonnet 4.6 costs high.",
2026-03-22,Roundtable Space,@RoundtableSpace,https://x.com/RoundtableSpace/status/2035774898392518863,"Chrome shipped feature letting AI agents use browser you're logged into. Skip CAPTCHA and re-logins. Chrome Dev Tool MCP.",
2026-03-22,Aakash Gupta,@aakashgupta,https://x.com/aakashgupta/status/2035805431516246363,"6 levels of Claude Code autonomy. Most stuck on Level 1. Progressive permission and oversight reduction framework.",
2026-03-23,OpenClaw,@openclaw,https://x.com/openclaw/status/2036043904949330407,"OpenClaw 2026.3.22: ClawHub plugin marketplace, MiniMax M2.7, GPT-5.4-mini/nano, per-agent reasoning, OpenShell, SSH sandboxes, Exa/Tavily/Firecrawl.",
2026-03-22,Cody Schneider,@codyschneiderxx,https://x.com/codyschneiderxx/status/2035615859268612107,"Claude Agent SDK harness is public. Run MiniMax 2.5 at 1/20 cost of Opus 4.6 with near-equivalent performance. 24/7 cloud agents.",
2026-03-23,Aakash Gupta,@aakashgupta,https://x.com/aakashgupta/status/2036006034729304175,"Karpathy's autoresearch as org chart for AI companies: program.md (strategy), train.py (execution), prepare.py (data prep).",
2026-03-19,TRQ,@trq212,https://x.com/trq212/status/2034761016320696565,"Claude Code channels: control Claude Code session through MCPs including Telegram and Discord. Message from phone.",
2026-03-21,VMLOps,@_vmlops,https://x.com/_vmlops/status/2035205552394182853,"GitHub spec-kit: describe what you want → AI writes specs → plans → builds. Works with every major AI coding agent.",github.com/github/spec-kit
2026-03-20,Sarah Guo,@saranormous,https://x.com/saranormous/status/2035080458304987603,"Karpathy on No Priors Podcast: phase shift in engineering, AI psychosis, claws, AutoResearch, SETI-at-Home for AI.",
2026-03-20,Min Choi,@minchoi,https://x.com/minchoi/status/2035101387298611651,"Google Drive doc scanner: multi-page real-time scanning, auto/continuous capture, duplicate detection.",
2026-03-21,Hartdrawss,@Hartdrawss,https://x.com/Hartdrawss/status/2035378419278532928,"20 security anti-patterns in vibe-coded apps: no rate limiting, localStorage auth tokens, no input sanitization, etc.",
2026-03-21,RRYSSF,@rryssf_,https://x.com/rryssf_/status/2035315863163912332,"Princeton research: AI went from useless to highly personalized in 36 conversations. Feedback-driven self-improvement.",
2026-03-20,Sharbel,@sharbel,https://x.com/sharbel/status/2034968576696688689,"Fastest growing GitHub projects: agency-agents (23.2K stars), superpowers framework (19.2K), OpenClaw (122K).",
2026-03-20,BentoBoiNFT,@BentoBoiNFT,https://x.com/BentoBoiNFT/status/2034974100381192437,"OpenClaw vs Claude Code comparison. Claude now has Discord/Telegram, cron jobs (/loop), 1M memory, webhooks, 24/7 Mac Mini.",
2026-03-20,Anish Moonka,@AnishA_Moonka,https://x.com/AnishA_Moonka/status/2035119720912081314,"Karpathy 66min podcast on code agents, AutoResearch, humans as bottleneck.",
2026-03-13,Aakash Gupta,@aakashgupta,https://x.com/aakashgupta/status/2032561678060318993,"Autoresearch deep dive / explainer.",
2026-03-15,Sukh Saroy,@sukh_saroy,https://x.com/sukh_saroy/status/2033093295052829161,"GitNexus: open-source knowledge graph engine for codebases. Maps dependencies, call chains, execution flows.",
2026-03-14,Ihtesham Ali,@ihtesham2005,https://x.com/ihtesham2005/status/2032794334089884023,"ByteDance OpenViking: exposes flaws in flat RAG for agent memory. Unified memory/resource/skill system.",
2026-03-14,Aakash Gupta,@aakashgupta,https://x.com/aakashgupta/status/2032662042738356402,"Make your agent skills self-improving. Feedback-driven skill evolution.",
2026-03-12,ThisDudeLikesAI,@thisdudelikesAI,https://x.com/thisdudelikesAI/status/2032020679827341603,"Lightpanda: headless browser 11x faster than Chrome, 9x less memory. Built for AI agents/scraping/automation. Not a Chromium fork.",
2026-03-08,Cathryn Lavery,@cathrynlavery,https://x.com/cathrynlavery/status/2030714034673033474,"Terminal upgrade stack: ghostty (terminal), tmux (sessions), fish (autocomplete), plus one more.",
2026-03-08,Craig Hewitt,@TheCraigHewitt,https://x.com/TheCraigHewitt/status/2030597156176908381,"Karpathy's agent loop pattern: human writes strategy → agent executes experiments autonomously. Core loop for everything.",
2026-03-09,Tom Doerr,@tom_doerr,https://x.com/tom_doerr/status/2030864180417356230,"GEO-SEO for Claude: optimizes websites for AI search engines.",github.com/zubair-trabzada/geo-seo-claude
2026-03-08,Omar Saris,@omarsar0,https://x.com/omarsar0/status/2030771811705872435,"OpenDev: 81-page paper on scaffolding, harness design, context engineering for CLI coding agents.",
2026-03-07,Andrej Karpathy,@karpathy,https://x.com/karpathy/status/2030371219518931079,"Autoresearch: self-contained minimal repo. Single-GPU, 630 lines. Human iterates on strategy, agent runs experiments.",
2026-03-08,Andrej Karpathy,@karpathy,https://x.com/karpathy/status/2030705271627284816,"Autoresearch next step: SETI@home style asynchronous massive collaboration for agents. Research community, not single PhD.",
2026-03-07,Boris Cherny,@bcherny,https://x.com/bcherny/status/2030193932404150413,"Claude Code /loop: schedule recurring tasks for up to 3 days. Babysit PRs, auto-fix builds, morning summaries.",
2026-03-07,Chintan Turakhia,@chintanturakhia,https://x.com/chintanturakhia/status/2030089465679728763,"Prompt to run frequently (visual/content not captured).",
2026-03-05,Mark Gadala,@markgadala,https://x.com/markgadala/status/2029398144958537973,"AI making babies do stand-up comedy. Cultural observation.",
2026-03-05,Addy Osmani,@addyosmani,https://x.com/addyosmani/status/2029372736267805081,"Google Workspace CLI: Drive, Gmail, Calendar, every Workspace API. 40+ agent skills included. Built for humans and agents.",github.com/googleworkspace/cli
2026-03-01,Vadim Strizheus,@VadimStrizheus,https://x.com/VadimStrizheus/status/2027953432326197508,"Company as a folder: .claude/agents/ with engineering/marketing/design/ops/testing. All .md files. 12 running in OpenClaw.",
2026-03-02,Matt Pocock,@mattpocockuk,https://x.com/mattpocockuk/status/2028416678657155490,"Multi-agent session inputs: SPEC.md as destination, PLAN.md as journey. Clean mental model.",
2026-03-01,Rohan Paul,@rohanpaul_ai,https://x.com/rohanpaul_ai/status/2028184543040270769,"Paper on managing AI context as file system. Agentic file system where prompts, databases, tools, logs become coherent system.",
